Aardvark,23
Abyssinian,15
Adelie Penguin,10
Affenpinscher,12
Afghan Hound,14
African Bush Elephant,60
African Civet,15
African Clawed Frog,8
African Forest Elephant,60
African Palm Civet,15
African Penguin,10
African Tree Toad,3
African Wild Dog,10
Ainu Dog,12
Airedale Terrier ,12
Akbash,11
Akita,10
Alaskan Malamute,14
Albatross,12
Aldabra Giant Tortoise,80
Alligator,30
Alpine Dachsbracke,12
American Bulldog,14
American Cocker Spaniel,15
American Coonhound,12
American Eskimo Dog,15
American Foxhound,11
American Pit Bull Terrier,12
American Staffordshire Terrier,12
American Water Spaniel,12
Anatolian Shepherd Dog,13
Angelfish,8
Ant,3
Anteater,9
Antelope,10
Appenzeller Dog,12
Arctic Fox,7
Arctic Hare,3
Arctic Wolf,7
Armadillo,4
Asian Elephant,55
Asian Giant Hornet,3
Asian Palm Civet,15
Australian Cattle Dog,15
Australian Kelpie Dog,14
Australian Mist,14
Australian Shepherd,14
Australian Terrier,14
Avocet,10
Axolotl,10
Aye Aye ,10
Baboon,15
Bactrian Camel,35
Badger,4
Balinese,15
Banded Palm Civet,15
Bandicoot,3-7
Barb,3
Barn Owl,5
Barnacle,8
Barracuda,10
Basenji Dog,12
Basking Shark,20
Basset Hound,12
Bat,10
Bavarian Mountain Hound,14
Beagle,15
Bear,15
Bearded Collie,14
Bearded Dragon,6
Beaver,15
Bedlington Terrier,16
Beetle,3
Bengal Tiger,18
Bernese Mountain Dog,8
Bichon Frise,15
Binturong,10
Bird,1
Birds Of Paradise,5
Birman,20
Bison,15
Black Bear,15
Black Rhinoceros,45-50
Black Russian Terrier,11
Black Widow Spider,3
Bloodhound,12
Blue Lacy Dog,16
Blue Whale,30
Bluetick Coonhound,12
Bobcat,12
Bolognese Dog,14
Bombay,13
Bongo,10
Bonobo,30
Booby,12
Border Collie,20
Border Terrier,15
Bornean Orang-utan,30
Borneo Elephant,55
Boston Terrier,15
Bottle Nosed Dolphin,20
Boxer Dog,11
Boykin Spaniel,16
Brazilian Terrier,14
Brown Bear,20
Budgerigar,3
Buffalo,15
Bull Mastiff,10
Bull Shark,16
Bull Terrier,15
Bulldog,14
Bullfrog,6
Bumble Bee,1
Burmese,12
Burrowing Frog,10
Butterfly,40
Butterfly Fish,6
Caiman,20
Caiman Lizard,10
Cairn Terrier,14
Camel,40
Canaan Dog,15
Capybara,8
Caracal,12
Carolina Dog,19
Cassowary,40
Cat,15
Caterpillar,3
Catfish,8
Cavalier King Charles Spaniel,15
Centipede,5
Cesky Fousek,15
Chameleon,4
Chamois,18
Cheetah,10
Chesapeake Bay Retriever,13
Chicken,2
Chihuahua,18
Chimpanzee,50
Chinchilla,10
Chinese Crested Dog,13
Chinook,14
Chinstrap Penguin,15
Chipmunk,4
Chow Chow,10
Cichlid,5
Clouded Leopard,11
Clown Fish,4
Clumber Spaniel,15
Coati,8-15
Cockroach,18
Collared Peccary,10
Collie,13
Common Buzzard,12
Common Frog,5
Common Loon,15
Common Toad,2
Coral,15
Cottontop Tamarin,8
Cougar,10
Cow,12
Coyote,10
Crab,1
Crab-Eating Macaque,15
Crane,15
Crested Penguin,15
Crocodile,20
Cross River Gorilla,35
Curly Coated Retriever,14
Cuscus,8
Cuttlefish,1
Dachshund,15
Darwin's Frog,10
Deer,10
Desert Tortoise,25
Deutsche Bracke,12
Dhole,10
Dingo,7
Discus,8
Doberman Pinscher,12
Dodo,10
Dog,15
Dogo Argentino,13
Dogue De Bordeaux,12
Dolphin,20
Donkey,15
Dormouse,2
Dragonfly,6
Drever,14
Duck,4
Dugong,50
Dunker,14
Dusky Dolphin,18
Dwarf Crocodile,40
Eagle,15
Earwig ,1
Eastern Gorilla,35
Eastern Lowland Gorilla,35
Echidna,15
Edible Frog,5
Egyptian Mau,14
Electric Eel,15
Elephant,55
Elephant Seal,18
Elephant Shrew,2
Emperor Penguin,15
Emperor Tamarin,8
Emu,12
English Cocker Spaniel,15
English Shepherd,16
English Springer Spaniel,12
Entlebucher Mountain Dog,12
Epagneul Pont Audemer,13
Eskimo Dog,14
Estrela Mountain Dog,16
Falcon,12
Fennec Fox,10
Ferret,7
Field Spaniel,14
Fin Whale,50
Fire-Bellied Toad,10
Fish,1
Fishing Cat,10
Flamingo,15
Flat Coat Retriever,12
Flounder,3
Fly,25
Flying Squirrel,5
Fossa,15
Fox,3
Fox Terrier,14
French Bulldog,12
Frigatebird,15
Frilled Lizard,10
Frog,1
Fur Seal,12
Galapagos Penguin,15
Galapagos Tortoise,100-150
Gar,10
Gecko,2-9
Gentoo Penguin,15
Geoffroys Tamarin,8
Gerbil,3-5
German Pinscher,15
German Shepherd,12
Gharial,30
Giant African Land Snail,3-10
Giant Clam,20-100
Giant Panda Bear,20
Gibbon,25-40
Gila Monster,20-30
Giraffe,20
Glass Lizard,10
Glow Worm,5
Goat,10-15
Golden Lion Tamarin,8-15
Golden Oriole,8
Golden Retriever,12
Goose,12
Gopher,3-5
Gorilla,35-50
Grasshopper,1
Great Dane,7
Great White Shark,30
Greater Swiss Mountain Dog,12
Green Bee-Eater,12
Greenland Dog,12
Grey Mouse Lemur,3
Grey Reef Shark,22-28
Grey Seal,18-25
Greyhound,11
Grizzly Bear,15
Grouse,1
Guinea Fowl,10
