name lifespan
Aardvark,23
Abyssinian,15
Adelie Penguin,10
Affenpinscher,12
Afghan Hound,14
African Bush Elephant,60
African Civet,15
African Clawed Frog,8
African Forest Elephant,60
African Palm Civet,15
African Penguin,10
African Tree Toad,3
African Wild Dog,10
Ainu Dog,12
Airedale Terrier ,12
Akbash,11
Akita,10
Alaskan Malamute,14
Albatross,12
Aldabra Giant Tortoise,80
Alligator,30
Alpine Dachsbracke,12
American Bulldog,14
American Cocker Spaniel,15
American Coonhound,12
American Eskimo Dog,15
American Foxhound,11
American Pit Bull Terrier,12
American Staffordshire Terrier,12
American Water Spaniel,12
Anatolian Shepherd Dog,13
Angelfish,8
Ant,3
Anteater,9
Antelope,10
Appenzeller Dog,12
Arctic Fox,7
Arctic Hare,3
Arctic Wolf,7
Armadillo,4
Asian Elephant,55
Asian Giant Hornet,3
Asian Palm Civet,15
Australian Cattle Dog,15
Australian Kelpie Dog,14
Australian Mist,14
Australian Shepherd,14
Australian Terrier,14
Avocet,10
Axolotl,10
Aye Aye ,10
Baboon,15
Bactrian Camel,35
Badger,4
Balinese,15
Banded Palm Civet,15
Bandicoot,5.0
Barb,3
Barn Owl,5
Barnacle,8
Barracuda,10
Basenji Dog,12
Basking Shark,20
Basset Hound,12
Bat,10
Bavarian Mountain Hound,14
Beagle,15
Bear,15
Bearded Collie,14
Bearded Dragon,6
Beaver,15
Bedlington Terrier,16
Beetle,3
Bengal Tiger,18
Bernese Mountain Dog,8
Bichon Frise,15
Binturong,10
Bird,1
Birds Of Paradise,5
Birman,20
Bison,15
Black Bear,15
Black Rhinoceros,47.5
Black Russian Terrier,11
Black Widow Spider,3
Bloodhound,12
Blue Lacy Dog,16
Blue Whale,30
Bluetick Coonhound,12
Bobcat,12
Bolognese Dog,14
Bombay,13
Bongo,10
Bonobo,30
Booby,12
Border Collie,20
Border Terrier,15
Bornean Orang-utan,30
Borneo Elephant,55
Boston Terrier,15
Bottle Nosed Dolphin,20
Boxer Dog,11
Boykin Spaniel,16
Brazilian Terrier,14
Brown Bear,20
Budgerigar,3
Buffalo,15
Bull Mastiff,10
Bull Shark,16
Bull Terrier,15
Bulldog,14
Bullfrog,6
Bumble Bee,1
Burmese,12
Burrowing Frog,10
Butterfly,40
Butterfly Fish,6
Caiman,20
Caiman Lizard,10
Cairn Terrier,14
Camel,40
Canaan Dog,15
Capybara,8
Caracal,12
Carolina Dog,19
Cassowary,40
Cat,15
Caterpillar,3
Catfish,8
Cavalier King Charles Spaniel,15
Centipede,5
Cesky Fousek,15
Chameleon,4
Chamois,18
Cheetah,10
Chesapeake Bay Retriever,13
Chicken,2
Chihuahua,18
Chimpanzee,50
Chinchilla,10
Chinese Crested Dog,13
Chinook,14
Chinstrap Penguin,15
Chipmunk,4
Chow Chow,10
Cichlid,5
Clouded Leopard,11
Clown Fish,4
Clumber Spaniel,15
Coati,11.5
Cockroach,18
Collared Peccary,10
Collie,13
Common Buzzard,12
Common Frog,5
Common Loon,15
Common Toad,2
Coral,15
Cottontop Tamarin,8
Cougar,10
Cow,12
Coyote,10
Crab,1
Crab-Eating Macaque,15
Crane,15
Crested Penguin,15
Crocodile,20
Cross River Gorilla,35
Curly Coated Retriever,14
Cuscus,8
Cuttlefish,1
Dachshund,15
Darwin's Frog,10
Deer,10
Desert Tortoise,25
Deutsche Bracke,12
Dhole,10
Dingo,7
Discus,8
Doberman Pinscher,12
Dodo,10
Dog,15
